        17162	        39580	       416421	          466	        19691	16-jan-2001 22:40:31     	16-jan-2001 22:30:51     	   19COLUMBUS CANTERBURY	    4POPS	    3FCT	    3S/E	    6INVOIC	    6PRINTD	    5PRINT	    0	    1N	        39580	    0	    0	    0	    0	    0	    0

        17162	        39581	       416422	          466	        19691	16-jan-2001 22:40:31     	16-jan-2001 22:30:51     	   19COLUMBUS CANTERBURY	    4POPS	    3FCT	    3S/E	    6INVOIC	    6PRINTD	    5PRINT	    0	    1N	        39581	    0	    0	    0	    0	    0	    0

        17162	        39582	       416423	        14028	        19691	16-jan-2001 22:40:31     	16-jan-2001 22:30:51     	   19COLUMBUS CANTERBURY	    4POPS	    3FCT	    3S/E	    6INVOIC	    6PRINTD	    5PRINT	    0	    1N	        39582	    0	    0	    0	    0	    0	    0

