       300044	    5chapi	            0	       300003	       300000	02-aug-2000 07:01:48     	          110	02-aug-2000 07:01:48     	          110

       300045	   13ChangeLog.doc	            1	       300044	       300000	02-aug-2000 07:01:49     	          110	02-aug-2000 07:01:49     	          110

       300046	    9chapi.cpp	            1	       300044	       300000	02-aug-2000 07:01:50     	          110	02-aug-2000 07:01:50     	          110

       300047	    9chapi.def	            1	       300044	       300000	02-aug-2000 07:01:50     	          110	02-aug-2000 07:01:50     	          110

       300048	    9chapi.del	            1	       300044	       300000	02-aug-2000 07:01:50     	          110	02-aug-2000 07:01:50     	          110

       300049	    9chapi.dsp	            1	       300044	       300000	02-aug-2000 07:01:51     	          110	02-aug-2000 07:01:51     	          110

       300050	    9chapi.dsw	            1	       300044	       300000	02-aug-2000 07:01:51     	          110	02-aug-2000 07:01:51     	          110

       300051	    9chapi.hp~	            1	       300044	       300000	02-aug-2000 07:01:51     	          110	02-aug-2000 07:01:51     	          110

       300052	    9chapi.idl	            1	       300044	       300000	02-aug-2000 07:01:52     	          110	02-aug-2000 07:01:52     	          110

       300053	    8chapi.rc	            1	       300044	       300000	02-aug-2000 07:01:52     	          110	02-aug-2000 07:01:52     	          110

       300054	    9chapiCP.h	            1	       300044	       300000	02-aug-2000 07:01:53     	          110	02-aug-2000 07:01:53     	          110

       300055	   11chapips.def	            1	       300044	       300000	02-aug-2000 07:01:53     	          110	02-aug-2000 07:01:53     	          110

       300056	   11chapips.dsp	            1	       300044	       300000	02-aug-2000 07:01:53     	          110	02-aug-2000 07:01:53     	          110

       300057	   11chapips.dsw	            1	       300044	       300000	02-aug-2000 07:01:53     	          110	02-aug-2000 07:01:53     	          110

       300058	   10chapips.mk	            1	       300044	       300000	02-aug-2000 07:01:54     	          110	02-aug-2000 07:01:54     	          110

       300059	    9ChapiTest	            0	       300044	       300000	02-aug-2000 07:01:54     	          110	02-aug-2000 07:01:54     	          110

       300060	   13ChapiTest.cpp	            1	       300059	       300000	02-aug-2000 07:01:54     	          110	02-aug-2000 07:01:54     	          110

       300061	   13ChapiTest.dsp	            1	       300059	       300000	02-aug-2000 07:01:54     	          110	02-aug-2000 07:01:54     	          110

       300062	   13ChapiTest.dsw	            1	       300059	       300000	02-aug-2000 07:01:55     	          110	02-aug-2000 07:01:55     	          110

       300063	   11ChapiTest.h	            1	       300059	       300000	02-aug-2000 07:01:55     	          110	02-aug-2000 07:01:55     	          110

